cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
26998494,0001,1,N/T,08,20251105,20170131,RJ,5865
26999039,0001,1,STUDIO CORPUS,08,20180117,20170131,MG,4077
26999828,0001,1,BEM ESTAR FITNESS ACADEMIA,08,20210519,20170201,MG,4509
26999944,0001,1,ELITE SPORTS FITNESS,04,20210203,20170201,MG,4703
27000357,0001,1,,08,20220217,20170201,GO,9373
27000921,0001,1,CARLOS COSTA PERSONAL TRAINER,08,20171213,20170201,SP,6361
27001764,0001,1,BULLDOG FIGHT,08,20221005,20170201,SP,6313
27002003,0001,1,LUCIANO FERNANDES TREINAMENTO FUNCIONAL,04,20210318,20170201,SC,8233
27002082,0001,1,,08,20210209,20170201,SP,7097
27004210,0001,1,ACADEMIA CORPO EM FORMA,08,20170630,20170201,MG,4891
27006203,0001,1,STUDIO G4 PILATES E TREINAMENTO FUNCIONAL,08,20190430,20170201,SP,7077
27008371,0001,1,CICLOS QUALIDADE DE VIDA,08,20170319,20170201,SP,6619
27008863,0001,1,,08,20210317,20170201,RS,8587
27009012,0001,1,,08,20180207,20170201,SP,7107
27009762,0001,1,RAY PERSONAL TRAINER,04,20210226,20170201,SP,7107
27009788,0001,1,VIVA BEM,02,20170201,20170201,SC,8057
27011092,0001,1,ACAI DO FABIO,04,20210311,20170201,RJ,6001
27011301,0001,1,,08,20240628,20170202,RN,1761
27011379,0001,1,ASSESSORIA DE NATACAO,08,20180213,20170202,CE,1389
27011579,0001,1,ONE,02,20170202,20170202,MG,5191
27012849,0001,1,ACADEMIA DE NATACAO E HIDROGINASTICA C FITNESS,08,20221118,20170202,SP,6677
27018686,0001,1,STUDIO BIO FIT,08,20180917,20170202,SC,5555
27019180,0001,1,RODRIGO CARDOSO DE MOURA,08,20180813,20170202,DF,9701
27019554,0001,1,STUDIO HIME FITNESS,02,20260115,20170202,SP,7057
27023335,0001,1,EDUARDO KWIATKOWSKI - PERSONAL TRAINER,08,20180312,20170203,PR,7777
27025172,0001,1,MAKI PILATES,02,20170203,20170203,SP,7107
27029118,0001,1,CAMILA RIBEIRO PERSONAL,04,20210303,20170203,RO,0005
27029890,0001,1,RENATA MITRI PERSONAL TRAINER,08,20180103,20170203,MG,4123
27030776,0001,1,CLEBER DE BARROS BARBOSA,04,20210408,20170204,RJ,5877
27031364,0001,1,MOVING HEALTH,08,20180411,20170204,PE,2381
27032082,0001,1,,08,20180128,20170205,CE,1475
27032492,0001,1,R.B. SPORTS,08,20231027,20170205,PR,7967
